date,market,symbol,company,fiscal_period,industry,Fundamental,Direction,Sentiment,Risk,summary,eps_forecast,surp_eps_current,sales_forecast,surp_current,theme,theme_score,watch_tier,watch_role,nikkei_weight,gross_margin,operating_margin,guidance_revision,relative_strength,reaction_close,reaction_next_day,market_interpretation,past_q1,past_q2,past_q3
2026-04-27,TSE,6857,アドバンテスト,Q4 '25,電気機器,up,up,up,45,"Q3売上¥2,738億は四半期過去最高を更新。AI半導体向けテスター需要が極めて旺盛でSoCテスターの市場シェアは60%台後半に。通期ガイダンスを上方修正し売上¥1.07兆、営業利益¥4,540億を見込む。FY2026も30〜40%成長を見通す。",141.46,23.39,293.74,11.69,AI半導体,82,最重要,テーマ強度,5.5,55,42,up,80,4.5,2.1,bullish,6.2,3.8,-2.5
2026-04-27,TSE,6988,日東電工,Q4 '25,化学,flat,flat,flat,45,"Q3累計売上¥7,862億(+1.0%)、営業利益¥1,479億(-3.3%)。円高の為替影響で利益が圧迫されたが、為替除きでは増収増益。オプトロニクスの減速を産業テープや人材分野が補う構図。通期見通しを小幅上方修正し堅実な推移。",46.7,-11.53,243.09,-0.46,電子材料,45,,,,32,18,up,50,1.5,0.4,neutral,,,
2026-04-28,TSE,6762,TDK,Q4 '25,電気機器,up,up,up,45,"Q3累計売上¥1兆8,586億(+11.3%)、営業利益¥2,307億(+10.4%)と9ヶ月で過去最高を更新。ICTとHDD関連が好調で通期見通しを上方修正し売上¥2.47兆を見込む。車載向けBEV需要の弱さが課題だが、全体の成長基調は堅い。",13.76,-44.7,608.2,6.26,電子部品,52,重要,補助,1,30,12,up,55,3.2,1.5,bullish,,,
2026-04-28,TSE,4063,信越化学工業,Q4 '25,化学,up,down,flat,50,"Q3累計売上¥1兆9,340億(+0.2%)、営業利益¥4,980億(-14.8%)と増収だが大幅減益。塩ビ市況の低迷や原材料高で利益率は30%台から25.8%に低下。電子材料は底堅いものの全体の回復力は弱い。¥5,000億規模の自社株買いで株主還元を強化。",54.54,-10.95,621.04,3.04,半導体材料,48,重要,補助,2,38,25,flat,40,-0.8,-0.3,bearish,,,
2026-04-29,NYSE,V,Visa,Q2 '26,金融,up,up,up,25,Q1 FY2026売上$109億(+15%)、EPS$3.17(+15%)と好調な滑り出し。決済件数+9%、越境取引+11%、付加価値サービス+28%と全方位で成長。通期も2桁成長を見込む。世界的なキャッシュレス化の恩恵を最も受ける企業の一つ。,3.1,6.79,10.75,4.46,金融サービス,60,,,,82,68,up,65,2.5,1.2,bullish,,,
2026-04-30,NASDAQ,MSFT,Microsoft,Q3 '26,ソフトウェア、テクノロジー,up,up,flat,30,Q2 FY2026売上$813億(+17%)、非GAAP EPS$4.14(+24%)と好調。クラウド売上$515億(+26%)、Azure+39%成長。ただし市場が期待するAzure加速には届かず株価は下落。設備投資$375億は過去最大で、AI投資のリターンが今後の焦点。,4.06,5.18,81.44,1.77,AIクラウド,72,最重要,指数寄与,,68,42,flat,65,-1.2,-0.5,neutral,2.5,-1.5,1.8
2026-04-30,TSE,6971,京セラ,Q4 '25,電気機器,flat,flat,flat,50,"Q3売上¥5,306億、EPS¥31.20と前年の赤字から大幅改善。半導体部品がAI需要の恩恵を受け成長を牽引。子会社売却益¥150億を含めFY2026ガイダンスを上方修正。構造改革を進めROE 8%を中期目標に掲げるが、利益率は依然5%台と低水準。",14.13,127.3,506.9,8.15,電子部品,38,補助,補助,0.5,25,5,up,30,2.5,0.8,bullish,,,
2026-04-30,NASDAQ,AMZN,Amazon,Q1 '26,小売り,up,up,flat,35,"Q4売上$2,134億(+14%)と予想超だがEPS$1.95は僅かに未達。AWS$356億(+24%)と広告$213億(+22%)が高収益で成長を牽引。2026年設備投資は$2,000億と巨額で、AI基盤整備への積極姿勢が鮮明だが利益圧迫の懸念も残る。",1.63,70.21,177.28,2.39,AIクラウド,70,最重要,指数寄与,,48,11,flat,60,1.8,0.6,neutral,,,
2026-04-30,NYSE,MRK,Merck,Q1 '26,医薬品,up,flat,flat,55,Q4売上$164億(+5%)、EPS$2.04と予想を僅かに上回ったが、2026年ガイダンス(売上$655〜670億)は市場予想を下回った。キートルーダは引き続き成長するも2028年の特許切れが迫る。シデラ買収の一時費用$90億も重荷で、移行期にある。,-1.47,13.15,15.85,2.77,医薬品,42,,,,72,30,down,35,-2.5,-0.8,bearish,,,
2026-04-30,TSE,8035,東京エレクトロン,Q4 '25,電気機器,up,down,flat,50,"Q3売上¥5,520億(-15.7%)と前年の高水準から減速。粗利率も42.7%に低下。前年度に中国向け出荷の前倒しがあった反動が大きい。ただしAI半導体向け装置需要は旺盛で、2026暦年は市場15%超成長を見込む。R&D投資¥2,900億で技術力強化を継続。",413.9,13.23,689.84,3.19,AI半導体装置,80,最重要,テーマ強度,4.5,42,28,flat,72,-1.5,-0.5,neutral,5.5,2.8,-3.5
2026-04-30,NYSE,MA,Mastercard,Q1 '26,金融サービス,up,up,up,25,Q4売上$88億(+18%)、調整後EPS$4.76(+25%)と堅調。越境取引+14%、決済件数+10%と消費が底堅い。付加価値サービスは+23%成長し売上構成比が拡大。年間売上$328億、純利益$150億と高い収益力を維持。規制リスクはあるが事業基盤は強固。,4.41,4.37,8.26,1.68,金融サービス,62,,,,82,58,flat,65,1.5,0.5,bullish,,,
2026-04-30,NYSE,LLY,Eli Lilly,Q1 '26,医薬品、バイオテクノロジー,up,up,up,35,Q4売上$193億(+43%)、非GAAP EPS$7.54(+42%)と大幅な予想超え。マンジャロとゼップバウンドの需要急増が牽引。2026年ガイダンスは売上$800〜830億と市場予想を上回り、成長の持続力を示した。経口GLP-1のオルフォグリプロンの承認申請も進む。,6.97,22.64,17.82,11.11,医薬品,72,,,,82,40,up,75,3.5,1.2,bullish,,,
2026-04-30,NASDAQ,META,Meta Platforms,Q1 '26,テクノロジー,up,up,up,40,"Q4売上$599億(+24%)、EPS$8.88と大幅に予想超。広告事業が全体の97%を占め、表示回数+18%・単価+6%の好循環。年間売上は$2,010億を突破。2026年の設備投資$1,150〜1,350億はAI基盤に集中し、短期の利益率圧迫と長期成長の両面を持つ。",6.7,55.89,55.56,1.36,AI広告,72,最重要,テーマ強度,,82,42,up,75,4.2,2,bullish,7.2,3.5,-2.8
2026-04-30,NASDAQ,GOOG,Alphabet (Google),Q1 '26,ソフトウェア、テクノロジー,up,up,up,35,"Q4売上$1,138億(+18%)、EPS$2.82(+31%)と大幅に予想を上回り年間売上は初の$4,000億超を達成。検索・クラウド・AIが全方位で成長。2026年の設備投資$1,750〜1,850億は前年のほぼ倍で、AIへの巨額投資が利益率への影響を注視される。",2.68,90.44,106.96,2.74,AIクラウド,75,最重要,テーマ強度,,58,32,flat,75,5.5,2.8,bullish,4.8,-2.5,3.2
2026-05-01,NASDAQ,AAPL,Apple,Q2 '26,テクノロジー,up,up,up,25,"Q1 FY2026売上$1,438億(+16%)は過去最高。iPhone$853億(+23%)が全地域で記録を更新し、中国も+38%と急回復。サービス$300億(+14%)も最高を更新。EPS$2.84(+19%)、営業CF$539億と利益創出力は圧倒的。Q2も13〜16%成長を見込む。",1.95,3.3,109.46,1.58,テクノロジー,68,最重要,指数寄与,,46,30,up,70,3.5,1.5,bullish,3.5,1.8,-1.2
2026-05-02,NYSE,BRK.B,Berkshire Hathaway,Q1 '26,保険、製造業、金融、投資,up,down,flat,30,"Q4営業利益$102億(-29%)と保険引受の悪化が響き大幅減益。FY2025通期でも営業利益は前年比-6%。一方で株主資本$7,197億、現金$519億と財務は盤石。バフェット退任後、アベルCEO体制が始動。自社株買いは2025年中は見送られた。",5.08,3.51,92.91,0.82,保険・投資,48,,,,,,flat,45,-1.5,-0.5,bearish,,,
2026-05-08,TSE,7203,トヨタ自動車,Q4 '25,輸送用機器,up,flat,flat,55,"Q3累計売上¥38兆(+6.8%)だが営業利益¥3.2兆(-13.1%)と減益。米国関税の影響が¥1,450億に達するも、販売台数増と価格改定で吸収を図る。通期見通しを営業利益¥3.8兆に上方修正。商品力は強いが関税環境の不透明感が大きい。",49.27,27.25,12610,-0.12,自動車,48,重要,補助,2,18,8,up,50,1.5,0.5,neutral,,,
2026-05-08,TSE,9766,コナミグループ,Q4 '25,情報・通信業,up,up,up,35,"Q3累計売上¥3,530億(+13.6%)、営業利益¥1,018億(+17.4%)と2期連続で過去最高を更新。デジタルエンタメ事業がゲームとカードゲームの好調で+16.3%成長。IP活用のグローバル展開が加速しており、収益基盤の安定感が増している。",146.9,28.89,132.7,6,エンタメ,55,,,,55,28,up,65,3,1.2,bullish,,,
2026-05-08,TSE,7974,任天堂,Q4 '25,その他製品,up,up,flat,40,"Switch 2の発売で9ヶ月売上¥1兆9,058億(+99.3%)と倍増。営業利益¥3,004億(+21.3%)、純利益¥3,589億(+51.3%)。ただし粗利率はハード比率上昇で37.4%に低下。売上は予想を下回り株価は9.4%下落。ソフト展開の持続力が今後の鍵。",60.72,-7.32,415.61,-2.03,エンタメ,55,重要,補助,1.2,37,15,down,45,-9.4,-3.5,bearish,,,
2026-05-08,TSE,6758,ソニーグループ,Q4 '25,電気機器,up,up,flat,40,"Q3売上¥3兆7,137億(+1%)、営業利益¥5,150億(+22%)と四半期過去最高を更新。ゲーム・音楽・半導体が利益成長を牽引し営業利益率は13.9%に改善。通期見通しを上方修正。金融子会社のスピンオフで事業構造が明確化しつつある。",34.41,-58.62,2910,4.41,エレクトロニクス,58,重要,補助,1.5,28,14,up,65,,,,,,
2026-05-10,TSE,4568,第一三共,Q4 '25,医薬品,up,flat,flat,55,"Q3累計売上¥1兆5,335億(+12.1%)とエンハーツやダトロウェイなど抗がん剤が急成長を牽引。EPSも予想を上回ったが、特許切れを控えた将来の利益減少懸念から株価は下落。次期中計で成長持続の道筋を示せるかが焦点。",52.46,19.52,593.27,1.49,医薬品,55,,,,,,flat,55,-2,-0.5,bearish,,,
2026-05-11,TSE,6367,ダイキン工業,Q4 '25,機械,flat,flat,flat,45,"Q3累計売上¥3兆6,660億(+2.0%)、営業利益¥3,079億(-3.4%)。世界的な空調需要の低迷と米国関税が収益を圧迫。通期売上見通しは上方修正も営業利益は下方修正。データセンター冷却など新領域への期待はあるが足元は厳しい。",216.55,-40.56,1220,2.52,機械,40,重要,補助,1,32,8,flat,40,,,,,,
2026-05-11,TSE,9433,KDDI,Q4 '25,情報・通信業,flat,flat,flat,55,"Q3速報で売上+3.8%、利益+5.3%と堅調な事業進捗。金融・エネルギー・ローソン連結が成長に寄与。ただし架空取引に関する特別調査が進行中で決算発表が延期された。通期見通しは営業収益¥6,330億(+7.0%)を維持するが調査結果が不確定要素。",140.66,-14.11,1610,-3.03,通信,38,補助,補助,0.8,42,20,flat,40,,,,,,
2026-05-12,TSE,7832,バンダイナムコHD,Q4 '25,その他製品,up,up,flat,35,"Q3累計売上¥1兆20億(+4.6%)と9ヶ月で初の1兆円超え。玩具・ホビーが堅調で過去最高を達成。通期見通しを売上¥1.3兆(+4%)、営業利益¥1,810億(+9.7%)に上方修正。純利益率は10.4%に改善しIP活用の収益化が進む。",26.56,-8.39,306.31,5.86,エンタメ,55,,,,42,18,up,60,,,,,,
2026-05-12,TSE,9984,ソフトバンクグループ,Q4 '25,情報・通信業,flat,flat,flat,70,投資持株会社として9ヶ月決算を発表。Arm株やOpenAIへの投資を軸にAI領域でのポジショニングを強化。ただし投資損益の振れが大きく連結業績の変動が激しい。為替損や負債水準の高さもあり、従来型の財務分析では評価が難しい構造。,49.61,32.14,1970,1.29,AI投資,68,最重要,指数寄与,5,,,flat,65,,,,,,
2026-05-14,TSE,6098,リクルートホールディングス,Q4 '25,サービス業,up,up,up,35,"Q3累計売上¥9,431億(+5.2%)、営業利益¥1,821億(+30.4%)と利益成長が加速。米国HR Techの売上は+10.1%でARPJも+18%と好調。通期ガイダンスを上方修正しEPS¥335を見込む。¥2,500億の自社株買いも完了し株主還元も充実。",47.54,15.96,923.68,1.05,サービス,52,,,,55,19,up,65,,,,,,
2026-05-14,TSE,4543,テルモ,Q4 '25,精密機器,up,up,flat,40,"Q3累計売上¥8,316億(+7.7%)、営業利益¥1,449億(+8.5%)と過去最高を更新。北米が牽引し心臓血管・血液事業が伸長。関税影響¥70億を価格戦略¥115億で吸収。通期売上¥1.108兆を見込み、GS2026の営業利益率20%目標に向け進捗中。",15.01,-1.9,288.97,3.4,精密機器,52,,,,55,17,up,60,,,,,,
2026-05-20,NASDAQ,NVDA,NVIDIA,Q1 '26,半導体、テクノロジー,up,up,up,45,Q4 FY2026売上$681億(+73%)と過去最高を連続更新。データセンター$623億(+75%)が売上の91%を占める。粗利率75%、GAAP純利益$430億。Q1 FY2027ガイダンス$780億は予想を大幅に上回る。ただし顧客集中と投資過熱への懸念から決算後株価は5.5%下落。,1.74,5.51,78.62,3.03,AI半導体,90,最重要,テーマ強度,,75,62,up,90,,,,8.5,5.2,-3.1
2026-05-21,NASDAQ,WMT,Walmart,Q1 '26,小売り、食品、ドラッグ,up,up,up,25,"Q4 FY2026売上$1,907億(+5.6%)、調整後EPS$0.74(+12.1%)と堅調。eコマースは+24%で売上の23%に到達。広告収入は年間$64億(+46%)と新たな収益源が急拡大。FY2027は売上+3.5〜4.5%、営業利益+6〜8%成長を見込む。",0.66,1.81,174.56,0.09,小売,60,,,,25,4,flat,60,,,,,,
2026-06-03,NASDAQ,AVGO,Broadcom (AVGO),Q2 '26,半導体、テクノロジー,up,up,up,40,Q1 FY2026売上$193億(+29%)は過去最高。AI半導体売上$84億(+106%)がカスタムAIアクセラレータとネットワーキング需要で急成長。調整後EBITDA率68%、FCF$80億と収益力は極めて高い。Q2はAI売上$107億を見込み成長は加速する見通し。,2.39,0.93,22.02,0.28,AI半導体,85,最重要,テーマ強度,,78,55,up,85,,,,6.8,2.5,-1.8
2026-06-16,NYSE,ORCL,Oracle,Q4 '25,エンタープライズソフト、クラウドインフラ,up,up,up,45,"Q3 FY2026売上$172億(+22%)、非GAAP EPS$1.79(+21%)と15年ぶりに売上・EPSともに20%超成長を達成。クラウド売上$89億(+44%)、AI基盤売上は+243%と急拡大。RPO$5,530億(+325%)は巨大なAI受注残を反映。FY2027売上$900億へ上方修正。",1.95,5.3,19.1,1.56,AIクラウド,75,重要,テーマ強度,,71,32,up,75,,,,,,
2026-07-09,TSE,9983,ファーストリテイリング,Q3 '26,小売業,,,,,,379.13,38.44,948.73,3.85,小売,52,最重要,指数寄与,8,52,18,flat,55,,,,,,
