"date","market","symbol","company","fiscal_period","industry","Fundamental","Direction","Sentiment","Risk","summary","eps_forecast","eps_4q_ago","eps_current","eps_4q_prior_period","surp_eps_4q_ago","surp_eps_current","surp_eps_4q_prior_period","sales_forecast","sales_4q_ago","sales_current","sales_4q_prior_period","surp_4q_ago","surp_current","surp_4q_prior_period"
2026-04-21,"NYSE","UNH","UnitedHealth","Q1 '26","ヘルスケアサービス","flat","down","flat","65","FY2025売上は$4,476億と12%増だが、医療費率の悪化で利益は大幅に低下。年初ガイダンスを何度も引き下げ、調整後EPSは$16.35に着地。2026年は売上減・会員減を見込むが利益率の改善を目指す。司法省の独禁調査やサイバー攻撃の影響も残る。",6.58,7.2,2.11,6.81,-1.26,0.27,1.07,109.43,109.58,113.22,100.81,-1.8,-0.49,-0.78
2026-04-23,"NASDAQ","TSLA","Tesla","Q1 '26","自動車、テクノロジー","flat","flat","flat","60","FY2025売上は$949億で前年からやや減少。Q4は調整後EPS$0.50で予想を上回り粗利率20%台に回復したが、年間の純利益は大きく縮小。BYDに販売台数で逆転され競争環境は厳しい。エネルギー事業や自動運転の進展が今後の鍵。",0.36,0.27,0.5,0.73,-34.72,9.94,-5.73,22.26,19.34,24.9,25.71,-9.1,0.5,-5.69
2026-04-24,"NYSE","PG","Procter & Gamble","Q3 '26","消費財","up","flat","flat","30","Q2 FY2026売上は$222億で前年比1%増にとどまり、有機成長は横ばい。コアEPS$1.88は予想をわずかに上回った。原材料高や関税コスト、競争激化で利益率は低下。下期の回復を見込み通期ガイダンスは維持するが成長力の鈍化が続く。",1.56,1.54,1.88,1.88,1.31,1.31,1.17,20.56,19.78,22.21,21.88,-1.88,-0.4,1.41
2026-04-24,"TSE",4519,"中外製薬","Q1 '26","医薬品","up","up","up","35","FY2025売上は¥1兆2,579億(+7.5%)、営業利益¥5,988億(+10.5%)と増収増益。ヘムライブラやアクテムラの海外輸出が好調で国内薬価改定の影響を吸収。パイプラインも充実し、GLP-1やNXT007の進展が将来の成長余地を広げている。",66.38,59.09,78.03,55.64,15.94,5.48,-5.67,303.59,288.46,346.3,302.07,8.66,6.37,3.61
2026-04-24,"TSE",6954,"ファナック","Q4 '25","電気機器","up","flat","flat","50","Q3累計(9ヶ月)売上¥6,233億(+6.5%)、営業利益¥1,277億(+15.6%)と増収増益。ロボット・FA需要は底打ちの兆し。ただし米国関税15%の影響を織り込み通期営業利益見通しを小幅に下方修正。景気・為替の不透明感が残る。",47.84,47.92,39.69,35.22,18.5,-9.15,1.73,220.23,212.12,215.74,197.05,1.85,1.19,0
2026-04-27,"TSE",4568,"第一三共","Q4 '25","医薬品","up","flat","flat","55","Q3累計売上¥1兆5,335億(+12.1%)とエンハーツやダトロウェイなど抗がん剤が急成長を牽引。EPSも予想を上回ったが、特許切れを控えた将来の利益減少懸念から株価は下落。次期中計で成長持続の道筋を示せるかが焦点。",55.37,46.31,46.79,32.82,138.01,19.52,4.28,589.76,518.69,558.11,484.84,5.43,1.49,2.19
2026-04-27,"TSE",6857,"アドバンテスト","Q4 '25","電気機器","up","up","up","45","Q3売上¥2,738億は四半期過去最高を更新。AI半導体向けテスター需要が極めて旺盛でSoCテスターの市場シェアは60%台後半に。通期ガイダンスを上方修正し売上¥1.07兆、営業利益¥4,540億を見込む。FY2026も30〜40%成長を見通す。",141.46,54.46,108.41,70.29,-30.14,45.17,12.19,285.97,232.3,273.8,218.15,12.52,25.31,15.35
2026-04-27,"TSE",6988,"日東電工","Q4 '25","化学","flat","flat","flat","45","Q3累計売上¥7,862億(+1.0%)、営業利益¥1,479億(-3.3%)。円高の為替影響で利益が圧迫されたが、為替除きでは増収増益。オプトロニクスの減速を産業テープや人材分野が補う構図。通期見通しを小幅上方修正し堅実な推移。",46.7,40.9,54.57,40.92,27.33,3.11,-29.23,239.71,235.59,272.63,256.56,2.74,5.23,0.87
2026-04-28,"TSE",4063,"信越化学工業","Q4 '25","化学","up","down","flat","50","Q3累計売上¥1兆9,340億(+0.2%)、営業利益¥4,980億(-14.8%)と増収だが大幅減益。塩ビ市況の低迷や原材料高で利益率は30%台から25.8%に低下。電子材料は底堅いものの全体の回復力は弱い。¥5,000億規模の自社株買いで株主還元を強化。",54.54,51.76,67.51,69.93,-24.87,5.12,-7.69,618.39,631.5,649.48,663.24,1.93,-1.79,3.2
2026-04-28,"NYSE","V","Visa","Q2 '26","金融","up","up","up","25","Q1 FY2026売上$109億(+15%)、EPS$3.17(+15%)と好調な滑り出し。決済件数+9%、越境取引+11%、付加価値サービス+28%と全方位で成長。通期も2桁成長を見込む。世界的なキャッシュレス化の恩恵を最も受ける企業の一つ。",3.1,2.76,3.17,2.75,2.99,0.88,3.33,10.75,9.59,10.9,9.51,0.45,1.99,1.73
